metric1_score_true,sentence_bleu_score_true,sbertSimilarity_score_true
100.0,1.0,0.9999999403953552
75.0,0.75,0.940533459186554
100.0,1.0,1.0
100.0,1.0,1.0
100.0,1.0,1.0
47.05882352941176,0.47058823529411764,0.7533931732177734
66.66666666666666,0.6666666666666666,0.8969624638557434
33.33333333333333,0.3333333333333333,0.6673223972320557
40.0,0.4,0.730055570602417
66.66666666666666,0.6666666666666666,0.9972510933876038
50.0,0.5,0.8314042091369629
50.0,0.5,0.6925387382507324
81.81818181818183,0.8181818181818182,0.970032274723053
45.45454545454545,0.5454545454545454,0.8018643856048584
75.0,0.75,0.9131957292556763
64.28571428571429,0.6428571428571429,0.7702106833457947
30.76923076923077,0.38461538461538464,0.792640745639801
36.36363636363637,0.36363636363636365,0.8498704433441162
53.84615384615385,0.5384615384615384,0.7932133078575134
75.0,0.75,0.9038703441619873
50.0,0.5,0.6849499344825745
90.0,0.9,0.9471772313117981
41.66666666666667,0.4166666666666667,0.8298688530921936
75.0,0.75,0.9521359801292419
27.27272727272727,0.45454545454545453,0.6548100113868713
28.57142857142857,0.2857142857142857,0.7192084193229675
60.0,0.6,0.8357946276664734
50.0,0.5,0.7517577409744263
100.0,1.0,0.9999999403953552
33.33333333333333,0.3333333333333333,0.8792333006858826
0.0,0.0,0.7121579051017761
52.94117647058824,0.5294117647058824,0.8064748048782349
75.0,0.75,0.9978468418121338
0.0,0.0,0.72877037525177
61.53846153846154,0.6153846153846154,0.851083517074585
36.36363636363637,0.36363636363636365,0.786145806312561
66.66666666666666,0.75,0.8524869084358215
66.66666666666666,0.6666666666666666,0.8279522061347961
87.5,0.875,0.9844821095466614
61.53846153846154,0.6153846153846154,0.9072245359420776
60.0,0.6,0.8516535758972168
53.84615384615385,0.5384615384615384,0.8019962310791016
0.0,0.0,0.9474138617515564
53.84615384615385,0.6153846153846154,0.7472315430641174
66.66666666666666,0.6666666666666666,0.9713786244392395
30.76923076923077,0.38461538461538464,0.792640745639801
100.0,1.0,1.0
41.66666666666667,0.4166666666666667,0.7172651290893555
20.0,0.2,0.5418024659156799
54.54545454545454,0.5454545454545454,0.9409511089324951
66.66666666666666,0.6666666666666666,0.923183023929596
0.0,0.25,0.6732660531997681
0.0,0.0,0.6633939743041992
60.0,0.6,0.8562728762626648
75.0,0.75,0.85305255651474
50.0,0.5,0.8394038677215576
75.0,0.75,0.8507423400878906
50.0,0.5,0.7548986673355103
45.45454545454545,0.45454545454545453,0.8111205697059631
57.89473684210527,0.5789473684210527,0.8438575863838196
41.66666666666667,0.4166666666666667,0.8402255177497864
50.0,0.5,0.9856905937194824
41.66666666666667,0.4166666666666667,0.7536055445671082
50.0,0.5,0.7523931860923767
58.82352941176471,0.5882352941176471,0.8625509142875671
50.0,0.5,0.8949903845787048
62.5,0.625,0.7377890348434448
57.14285714285714,0.5714285714285714,0.8244454264640808
68.75,0.6875,0.8716745376586914
37.5,0.375,0.8030767440795898
50.0,0.5,0.8094196319580078
100.0,1.0,0.9999999403953552
61.53846153846154,0.6153846153846154,0.8372249007225037
75.0,0.75,0.9719540476799011
0.0,0.0,0.5949411988258362
50.0,0.5833333333333334,0.7013505101203918
0.0,0.0,0.4700184464454651
50.0,0.5,0.8266992568969727
20.0,0.2,0.45937758684158325
66.66666666666666,0.6666666666666666,0.9325838088989258
60.0,0.6,0.7936193346977234
50.0,0.5,0.8586171269416809
50.0,0.5,0.9635841846466064
46.15384615384615,0.46153846153846156,0.8653965592384338
66.66666666666666,0.6666666666666666,0.8653504848480225
71.42857142857143,0.7142857142857143,0.9223235845565796
46.666666666666664,0.5333333333333333,0.7462875843048096
71.42857142857143,0.7142857142857143,0.873142421245575
63.63636363636363,0.6363636363636364,0.8778391480445862
61.111111111111114,0.6111111111111112,0.8618069887161255
66.66666666666666,0.6666666666666666,0.892017662525177
40.0,0.4,0.7210862636566162
50.0,0.5,0.8139548301696777
50.0,0.5,0.8627074956893921
50.0,0.5,0.9142616987228394
50.0,0.5,0.9628813862800598
50.0,0.5,0.7594843506813049
52.94117647058824,0.5294117647058824,0.8302130699157715
